# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;-1;5.92;0.00;1.13;1.24;0.02;91.69
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;0;8.59;0.00;1.09;0.00;0.03;90.29
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;1;0.87;0.00;0.17;0.00;0.00;98.97
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;2;1.67;0.00;0.27;0.00;0.00;98.06
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;3;0.10;0.00;0.03;0.03;0.00;99.83
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;4;0.20;0.00;0.03;0.00;0.00;99.77
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;5;1.72;0.00;0.20;0.00;0.02;98.07
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;6;0.63;0.00;0.25;0.02;0.00;99.10
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;7;0.03;0.00;0.02;0.00;0.00;99.95
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;8;23.31;0.00;3.72;0.39;0.03;72.55
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;9;24.43;0.00;3.38;0.27;0.03;71.89
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;10;16.77;0.00;2.25;0.10;0.02;80.85
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;11;12.22;0.00;1.81;0.18;0.02;85.77
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;12;4.85;0.00;0.84;0.18;0.02;94.11
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;13;20.76;0.00;5.19;4.00;0.05;69.99
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;14;25.27;0.00;5.34;1.51;0.03;67.85
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;15;26.43;0.00;5.11;0.54;0.03;67.88
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;16;1.20;0.00;0.15;0.00;0.00;98.65
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;17;1.68;0.00;0.52;0.00;0.02;97.78
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;18;0.62;0.00;0.23;0.02;0.00;99.13
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;19;0.02;0.00;0.05;0.00;0.00;99.93
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;20;0.52;0.00;0.22;0.00;0.00;99.27
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;21;0.03;0.00;0.02;0.00;0.00;99.95
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;22;1.40;0.00;0.18;0.00;0.00;98.42
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;23;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;24;2.47;0.00;0.40;0.03;0.00;97.10
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;25;2.04;0.00;0.47;0.12;0.00;97.38
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;26;3.07;0.00;0.37;0.05;0.02;96.50
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;27;0.30;0.00;0.07;0.00;0.02;99.62
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;28;3.13;0.00;3.35;34.42;0.27;58.84
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;29;2.67;0.00;0.52;0.27;0.00;96.54
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;30;2.97;0.00;0.40;0.10;0.00;96.53
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;31;0.87;0.00;0.15;0.03;0.00;98.95
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;-1;9.20;0.00;1.18;1.75;0.02;87.86
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;0;5.18;0.00;1.07;0.00;0.02;93.73
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;1;39.86;0.00;0.83;0.02;0.02;59.27
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;2;6.97;0.00;2.20;0.00;0.00;90.82
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;3;2.16;0.00;0.30;0.00;0.00;97.54
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;4;0.81;0.00;0.13;0.00;0.02;99.04
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;5;39.93;0.00;0.84;0.00;0.00;59.22
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;6;0.07;0.00;0.02;0.00;0.00;99.92
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;7;37.78;0.00;2.60;0.02;0.02;59.58
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;8;22.09;0.00;3.34;0.24;0.02;74.32
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;9;17.97;0.00;2.52;0.76;0.02;78.74
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;10;10.24;0.00;1.36;1.29;0.02;87.10
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;11;11.21;0.00;1.37;0.08;0.02;87.32
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;12;6.00;0.00;0.95;0.42;0.00;92.62
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;13;20.54;0.00;4.59;3.07;0.02;71.78
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;14;24.25;0.00;4.50;4.55;0.02;66.68
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;15;21.31;0.00;3.98;3.78;0.02;70.91
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;16;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;17;0.45;0.00;0.05;0.00;0.00;99.50
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;18;2.66;0.00;0.37;0.00;0.02;96.95
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;19;1.15;0.00;0.19;0.00;0.00;98.66
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;20;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;21;1.38;0.00;0.62;0.00;0.00;98.00
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;22;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;23;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;24;1.98;0.00;0.32;0.00;0.00;97.70
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;25;3.42;0.00;0.40;0.00;0.00;96.18
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;26;3.61;0.00;0.50;0.00;0.00;95.89
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;27;0.60;0.00;0.08;0.00;0.00;99.32
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;28;3.73;0.00;3.19;44.81;0.27;48.00
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;29;2.44;0.00;0.37;0.00;0.02;97.18
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;30;3.98;0.00;0.65;0.13;0.00;95.24
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;31;4.85;0.00;0.57;0.00;0.02;94.57
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;-1;9.93;0.00;1.15;1.42;0.01;87.49
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;0;35.94;0.00;0.93;0.00;0.00;63.13
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;1;36.31;0.00;1.50;0.12;0.00;62.08
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;2;20.35;0.00;1.37;0.02;0.00;78.27
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;3;0.02;0.00;0.02;0.00;0.02;99.95
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;4;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;5;2.92;0.00;0.03;0.00;0.00;97.05
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;6;0.00;0.00;0.00;0.00;0.02;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;7;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;8;29.68;0.00;2.29;0.13;0.02;67.88
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;9;14.60;0.00;1.32;0.03;0.00;84.05
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;10;3.52;0.00;0.33;0.05;0.00;96.10
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;11;16.44;0.00;3.15;0.00;0.00;80.41
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;12;8.51;0.00;0.92;0.02;0.02;90.53
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;13;25.74;0.00;5.42;5.05;0.02;63.78
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;14;21.73;0.00;3.90;1.83;0.02;72.52
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;15;20.94;0.00;2.89;0.27;0.02;75.88
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;16;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;17;8.58;0.00;2.22;0.00;0.00;89.20
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;18;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;19;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;20;1.83;0.00;1.15;0.00;0.00;97.02
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;21;42.15;0.00;3.63;0.17;0.00;54.05
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;22;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;23;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;24;3.42;0.00;0.38;0.00;0.00;96.20
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;25;2.58;0.00;0.28;0.00;0.00;97.13
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;26;2.00;0.00;0.23;0.00;0.00;97.77
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;27;0.22;0.00;0.05;0.00;0.00;99.73
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;28;4.34;0.00;3.31;40.41;0.25;51.69
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;29;6.64;0.00;0.73;0.00;0.00;92.63
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;30;3.54;0.00;0.48;0.00;0.00;95.98
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;31;5.49;0.00;0.55;0.00;0.00;93.96
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;-1;11.58;0.00;1.13;1.07;0.01;86.20
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;0;58.06;0.00;0.52;0.00;0.00;41.43
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;1;8.20;0.00;0.68;0.00;0.00;91.12
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;2;1.10;0.00;0.23;0.02;0.02;98.63
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;3;0.22;0.00;0.05;0.00;0.00;99.73
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;4;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;5;0.03;0.00;0.02;0.00;0.00;99.95
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;6;3.27;0.00;0.63;0.00;0.00;96.10
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;7;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;8;15.71;0.00;1.91;1.40;0.00;80.98
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;9;15.07;0.00;1.94;0.69;0.00;82.30
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;10;15.96;0.00;1.59;0.02;0.00;82.44
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;11;8.71;0.00;1.10;0.05;0.00;90.14
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;12;2.17;0.00;0.32;0.02;0.00;97.50
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;13;16.36;0.00;3.08;0.95;0.00;79.60
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;14;24.85;0.00;5.50;2.21;0.00;67.43
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;15;22.38;0.00;3.69;1.98;0.00;71.96
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;16;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;17;1.83;0.00;0.38;0.00;0.00;97.78
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;18;1.30;0.00;0.30;0.00;0.00;98.40
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;19;28.50;0.00;1.37;0.00;0.00;70.13
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;20;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;21;0.03;0.00;0.00;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;22;33.10;0.00;1.92;0.00;0.00;64.98
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;23;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;24;21.95;0.00;1.80;0.00;0.02;76.23
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;25;6.04;0.00;0.68;0.67;0.02;92.60
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;26;5.14;0.00;0.43;0.00;0.00;94.43
