# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
ip-10-145-11-135.us-west-1.compute.internal;60;1439954229;-36591.05;0.00;35560.28
ip-10-145-11-135.us-west-1.compute.internal;60;1439954289;-46765.47;0.00;29496.88
ip-10-145-11-135.us-west-1.compute.internal;60;1439954349;-20692.33;0.00;31659.67
ip-10-145-11-135.us-west-1.compute.internal;60;1439954409;-39102.73;0.00;34252.70
ip-10-145-11-135.us-west-1.compute.internal;60;1439954469;-22758.55;0.00;30395.02
ip-10-145-11-135.us-west-1.compute.internal;60;1439954529;-37122.10;0.00;19344.37
ip-10-145-11-135.us-west-1.compute.internal;60;1439954589;-545.35;0.00;17322.68
ip-10-145-11-135.us-west-1.compute.internal;60;1439954649;-43609.92;0.00;24642.70
ip-10-145-11-135.us-west-1.compute.internal;60;1439954709;419.97;0.00;17383.15
ip-10-145-11-135.us-west-1.compute.internal;60;1439954769;-18452.33;0.00;17944.93
ip-10-145-11-135.us-west-1.compute.internal;60;1439954829;-37911.83;0.00;10474.22
ip-10-145-11-135.us-west-1.compute.internal;60;1439954889;-46237.17;0.00;4693.05
ip-10-145-11-135.us-west-1.compute.internal;60;1439954949;14279.03;0.00;19447.62
ip-10-145-11-135.us-west-1.compute.internal;60;1439955009;-17264.12;0.00;16777.95
ip-10-145-11-135.us-west-1.compute.internal;60;1439955069;4700.20;0.00;11988.03
ip-10-145-11-135.us-west-1.compute.internal;60;1439955129;-40000.07;0.00;22352.65
ip-10-145-11-135.us-west-1.compute.internal;60;1439955189;25703.20;0.00;8336.38
ip-10-145-11-135.us-west-1.compute.internal;60;1439955249;-9298.23;0.00;9045.95
ip-10-145-11-135.us-west-1.compute.internal;60;1439955309;-9038.50;0.00;8796.85
ip-10-145-11-135.us-west-1.compute.internal;60;1439955369;-9155.67;0.00;8911.65
ip-10-145-11-135.us-west-1.compute.internal;60;1439955429;-9373.95;0.00;9109.85
ip-10-145-11-135.us-west-1.compute.internal;60;1439955489;-9299.98;0.00;9045.25
ip-10-145-11-135.us-west-1.compute.internal;60;1439955549;-9244.92;0.00;8995.90
ip-10-145-11-135.us-west-1.compute.internal;60;1439955609;-9298.58;0.00;9045.48
ip-10-145-11-135.us-west-1.compute.internal;60;1439955669;-9368.37;0.00;9121.88
ip-10-145-11-135.us-west-1.compute.internal;60;1439955729;-9011.28;0.00;8761.72
ip-10-145-11-135.us-west-1.compute.internal;60;1439955789;-9380.28;0.00;9130.47
ip-10-145-11-135.us-west-1.compute.internal;60;1439955849;-9227.45;0.00;8984.32
ip-10-145-11-135.us-west-1.compute.internal;60;1439955909;-9235.63;0.00;8975.52
ip-10-145-11-135.us-west-1.compute.internal;60;1439955969;-9357.62;0.00;9104.77
ip-10-145-11-135.us-west-1.compute.internal;60;1439956029;-9308.58;0.00;9051.97
ip-10-145-11-135.us-west-1.compute.internal;60;1439956089;-9126.58;0.00;8871.08
ip-10-145-11-135.us-west-1.compute.internal;60;1439956149;-9251.75;0.00;9012.47
ip-10-145-11-135.us-west-1.compute.internal;60;1439956209;-9337.22;0.00;9078.23
ip-10-145-11-135.us-west-1.compute.internal;60;1439956269;-9184.77;0.00;8928.95
ip-10-145-11-135.us-west-1.compute.internal;60;1439956329;-9409.38;0.00;9154.08
ip-10-145-11-135.us-west-1.compute.internal;60;1439956389;-9150.63;0.00;8897.47
ip-10-145-11-135.us-west-1.compute.internal;60;1439956449;-1519.55;-0.13;1455.95
ip-10-145-11-135.us-west-1.compute.internal;60;1439956509;4.80;0.00;1.45
ip-10-145-11-135.us-west-1.compute.internal;60;1439956569;-61.08;0.00;33.48
ip-10-145-11-135.us-west-1.compute.internal;60;1439956629;88.52;0.00;-110.80
ip-10-145-11-135.us-west-1.compute.internal;60;1439956689;-58.05;0.00;54.03
ip-10-145-11-135.us-west-1.compute.internal;60;1439956749;35.18;0.00;5.10
ip-10-145-11-135.us-west-1.compute.internal;60;1439956809;49.17;0.00;-39.12
ip-10-145-11-135.us-west-1.compute.internal;60;1439956869;-30.67;0.00;26.37
ip-10-145-11-135.us-west-1.compute.internal;60;1439956929;-80.85;-2.85;-51619.88
ip-10-145-11-135.us-west-1.compute.internal;60;1439956989;195.85;0.00;-106457.05
ip-10-145-11-135.us-west-1.compute.internal;60;1439957049;-130.32;0.00;-26780.63
ip-10-145-11-135.us-west-1.compute.internal;60;1439957109;-2.68;0.00;-8940.30
ip-10-145-11-135.us-west-1.compute.internal;60;1439957169;-14.52;0.00;-8839.63
ip-10-145-11-135.us-west-1.compute.internal;60;1439957229;-16.08;0.00;-1234.88
ip-10-145-11-135.us-west-1.compute.internal;60;1439957289;29462.82;0.00;4199.67
ip-10-145-11-135.us-west-1.compute.internal;60;1439957349;-19630.67;0.00;19111.68
ip-10-145-11-135.us-west-1.compute.internal;60;1439957409;-9739.23;0.00;9471.35
