ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1439961307.30556,template1,0,0,0,0,0,0,0,0,0,0
1439961307.30556,template0,0,0,0,0,0,0,0,0,0,0
1439961307.30556,postgres,0,238,0,113,10531,113859,2274,0,0,0
1439961307.30556,dbt3,5,1825,0,140755454,60832830,5854926399,206856,866038383,12,15
1439961367.30856,template1,0,0,0,0,0,0,0,0,0,0
1439961367.30856,template0,0,0,0,0,0,0,0,0,0,0
1439961367.30856,postgres,0,240,0,118,10602,114822,2285,0,0,0
1439961367.30856,dbt3,6,1838,0,140755488,60835510,5854931565,208447,866038383,12,15
1439961427.30943,template1,0,0,0,0,0,0,0,0,0,0
1439961427.30943,template0,0,0,0,0,0,0,0,0,0,0
1439961427.30943,postgres,0,242,0,118,10678,115785,2296,0,0,0
1439961427.30943,dbt3,6,1856,0,141872443,76019401,5854937015,210317,866788189,13,15
1439961487.31175,template1,0,0,0,0,0,0,0,0,0,0
1439961487.31175,template0,0,0,0,0,0,0,0,0,0,0
1439961487.31175,postgres,0,244,0,150,10722,116748,2307,0,0,0
1439961487.31175,dbt3,6,1868,0,141872464,76022070,5854942169,211897,866788189,13,15
1439961547.31388,template1,0,0,0,0,0,0,0,0,0,0
1439961547.31388,template0,0,0,0,0,0,0,0,0,0,0
1439961547.31388,postgres,0,246,0,150,10798,117711,2318,0,0,0
1439961547.31388,dbt3,6,1880,0,141872593,76024631,5854947323,213477,866788189,13,15
1439961607.31608,template1,0,0,0,0,0,0,0,0,0,0
1439961607.31608,template0,0,0,0,0,0,0,0,0,0,0
1439961607.31608,postgres,0,248,0,150,10874,118674,2329,0,0,0
1439961607.31608,dbt3,6,1892,0,141872593,76027321,5854952477,215057,866788189,13,15
1439961667.31768,template1,0,0,0,0,0,0,0,0,0,0
1439961667.31768,template0,0,0,0,0,0,0,0,0,0,0
1439961667.31768,postgres,0,250,0,150,10950,119637,2340,0,0,0
1439961667.31768,dbt3,6,1904,0,141872593,76030011,5854957631,216637,866788189,13,15
1439961727.31932,template1,0,0,0,0,0,0,0,0,0,0
1439961727.31932,template0,0,0,0,0,0,0,0,0,0,0
1439961727.31932,postgres,0,252,0,150,11026,120600,2351,0,0,0
1439961727.31932,dbt3,6,1916,0,141872593,76032701,5854962785,218217,866788189,13,15
1439961787.32174,template1,0,0,0,0,0,0,0,0,0,0
1439961787.32174,template0,0,0,0,0,0,0,0,0,0,0
1439961787.32174,postgres,0,254,0,150,11102,121563,2362,0,0,0
1439961787.32174,dbt3,6,1928,0,141872593,76035391,5854967939,219797,866788189,13,15
1439961847.32325,template1,0,0,0,0,0,0,0,0,0,0
1439961847.32325,template0,0,0,0,0,0,0,0,0,0,0
1439961847.32325,postgres,0,256,0,150,11178,122526,2373,0,0,0
1439961847.32325,dbt3,6,1940,0,141872593,76038081,5854973093,221377,866788189,13,15
1439961907.32491,template1,0,0,0,0,0,0,0,0,0,0
1439961907.32491,template0,0,0,0,0,0,0,0,0,0,0
1439961907.32491,postgres,0,258,0,150,11254,123489,2384,0,0,0
1439961907.32491,dbt3,6,1958,0,146347175,76047635,5882472650,7717353,866788190,14,15
1439961967.32703,template1,0,0,0,0,0,0,0,0,0,0
1439961967.32703,template0,0,0,0,0,0,0,0,0,0,0
1439961967.32703,postgres,0,260,0,182,11298,124452,2395,0,0,0
1439961967.32703,dbt3,6,1970,0,146347228,76050272,5882477804,7718933,866788190,14,15
1439962027.33026,template1,0,0,0,0,0,0,0,0,0,0
